Nrr1,Clsdt,Nrrdata
NRI01,2019/7/1,2.25
NRI01,2019/7/2,2.25
NRI01,2019/7/3,2.25
NRI01,2019/7/4,2.25
NRI01,2019/7/5,2.25
NRI01,2019/7/6,2.25
NRI01,2019/7/7,2.25
NRI01,2019/7/8,2.25
NRI01,2019/7/9,2.25
NRI01,2019/7/10,2.25
NRI01,2019/7/11,2.25
NRI01,2019/7/12,2.25
NRI01,2019/7/13,2.25
NRI01,2019/7/14,2.25
NRI01,2019/7/15,2.25
NRI01,2019/7/16,2.25
NRI01,2019/7/17,2.25
NRI01,2019/7/18,2.25
NRI01,2019/7/19,2.25
NRI01,2019/7/20,2.25
NRI01,2019/7/21,2.25
NRI01,2019/7/22,2.25
NRI01,2019/7/23,2.25
NRI01,2019/7/24,2.25
NRI01,2019/7/25,2.25
NRI01,2019/7/26,2.25
NRI01,2019/7/27,2.25
NRI01,2019/7/28,2.25
NRI01,2019/7/29,2.25
NRI01,2019/7/30,2.25
NRI01,2019/7/31,2.25
NRI01,2019/8/1,2.25
NRI01,2019/8/2,2.25
NRI01,2019/8/3,2.25
NRI01,2019/8/4,2.25
NRI01,2019/8/5,2.25
NRI01,2019/8/6,2.25
NRI01,2019/8/7,2.25
NRI01,2019/8/8,2.25
NRI01,2019/8/9,2.25
NRI01,2019/8/10,2.25
NRI01,2019/8/11,2.25
NRI01,2019/8/12,2.25
NRI01,2019/8/13,2.25
NRI01,2019/8/14,2.25
NRI01,2019/8/15,2.25
NRI01,2019/8/16,2.25
NRI01,2019/8/17,2.25
NRI01,2019/8/18,2.25
NRI01,2019/8/19,2.25
NRI01,2019/8/20,2.25
NRI01,2019/8/21,2.25
NRI01,2019/8/22,2.25
NRI01,2019/8/23,2.25
NRI01,2019/8/24,2.25
NRI01,2019/8/25,2.25
NRI01,2019/8/26,2.25
NRI01,2019/8/27,2.25
NRI01,2019/8/28,2.25
NRI01,2019/8/29,2.25
NRI01,2019/8/30,2.25
NRI01,2019/8/31,2.25
NRI01,2009/9/1,2.25
NRI01,2009/9/2,2.25
NRI01,2009/9/3,2.25
NRI01,2009/9/4,2.25
NRI01,2009/9/5,2.25
NRI01,2009/9/6,2.25
NRI01,2009/9/7,2.25
NRI01,2009/9/8,2.25
NRI01,2009/9/9,2.25
NRI01,2009/9/10,2.25
NRI01,2009/9/11,2.25
NRI01,2009/9/12,2.25
NRI01,2009/9/13,2.25
NRI01,2009/9/14,2.25
NRI01,2009/9/15,2.25
NRI01,2009/9/16,2.25
NRI01,2009/9/17,2.25
NRI01,2009/9/18,2.25
NRI01,2009/9/19,2.25
NRI01,2009/9/20,2.25
NRI01,2009/9/21,2.25
NRI01,2009/9/22,2.25
NRI01,2009/9/23,2.25
NRI01,2009/9/24,2.25
NRI01,2009/9/25,2.25
NRI01,2009/9/26,2.25
NRI01,2009/9/27,2.25
NRI01,2009/9/28,2.25
NRI01,2009/9/29,2.25
NRI01,2009/9/30,2.25
NRI01,2009/10/1,2.25
NRI01,2009/10/2,2.25
NRI01,2009/10/3,2.25
NRI01,2009/10/4,2.25
NRI01,2009/10/5,2.25
NRI01,2009/10/6,2.25
NRI01,2009/10/7,2.25
NRI01,2009/10/8,2.25
NRI01,2009/10/9,2.25
NRI01,2009/10/10,2.25
NRI01,2009/10/11,2.25
NRI01,2009/10/12,2.25
NRI01,2009/10/13,2.25
NRI01,2009/10/14,2.25
NRI01,2009/10/15,2.25
NRI01,2009/10/16,2.25
NRI01,2009/10/17,2.25
NRI01,2009/10/18,2.25
NRI01,2009/10/19,2.25
NRI01,2009/10/20,2.25
NRI01,2009/10/21,2.25
NRI01,2009/10/22,2.25
NRI01,2009/10/23,2.25
NRI01,2009/10/24,2.25
NRI01,2009/10/25,2.25
NRI01,2009/10/26,2.25
NRI01,2009/10/27,2.25
NRI01,2009/10/28,2.25
NRI01,2009/10/29,2.25
NRI01,2009/10/30,2.25
NRI01,2009/10/31,2.25
NRI01,2009/11/1,2.25
NRI01,2009/11/2,2.25
NRI01,2009/11/3,2.25
NRI01,2009/11/4,2.25
NRI01,2009/11/5,2.25
NRI01,2009/11/6,2.25
NRI01,2009/11/7,2.25
NRI01,2009/11/8,2.25
NRI01,2009/11/9,2.25
NRI01,2009/11/10,2.25
NRI01,2009/11/11,2.25
NRI01,2009/11/12,2.25
NRI01,2009/11/13,2.25
NRI01,2009/11/14,2.25
NRI01,2009/11/15,2.25
NRI01,2009/11/16,2.25
NRI01,2009/11/17,2.25
NRI01,2009/11/18,2.25
NRI01,2009/11/19,2.25
NRI01,2009/11/20,2.25
NRI01,2009/11/21,2.25
NRI01,2009/11/22,2.25
NRI01,2009/11/23,2.25
NRI01,2009/11/24,2.25
NRI01,2009/11/25,2.25
NRI01,2009/11/26,2.25
NRI01,2009/11/27,2.25
NRI01,2009/11/28,2.25
NRI01,2009/11/29,2.25
NRI01,2009/11/30,2.25
NRI01,2009/12/1,2.25
NRI01,2009/12/2,2.25
NRI01,2009/12/3,2.25
NRI01,2009/12/4,2.25
NRI01,2009/12/5,2.25
NRI01,2009/12/6,2.25
NRI01,2009/12/7,2.25
NRI01,2009/12/8,2.25
NRI01,2009/12/9,2.25
NRI01,2009/12/10,2.25
NRI01,2009/12/11,2.25
NRI01,2009/12/12,2.25
NRI01,2009/12/13,2.25
NRI01,2009/12/14,2.25
NRI01,2009/12/15,2.25
NRI01,2009/12/16,2.25
NRI01,2009/12/17,2.25
NRI01,2009/12/18,2.25
NRI01,2009/12/19,2.25
NRI01,2009/12/20,2.25
NRI01,2009/12/21,2.25
NRI01,2009/12/22,2.25
NRI01,2009/12/23,2.25
NRI01,2009/12/24,2.25
NRI01,2009/12/25,2.25
NRI01,2009/12/26,2.25
NRI01,2009/12/27,2.25
NRI01,2009/12/28,2.25
NRI01,2009/12/29,2.25
NRI01,2009/12/30,2.25
NRI01,2009/12/31,2.25
NRI01,2010/1/1,2.25
NRI01,2010/1/2,2.25
NRI01,2010/1/3,2.25
NRI01,2010/1/4,2.25
NRI01,2010/1/5,2.25
NRI01,2010/1/6,2.25
NRI01,2010/1/7,2.25
NRI01,2010/1/8,2.25
NRI01,2010/1/9,2.25
NRI01,2010/1/10,2.25
NRI01,2010/1/11,2.25
NRI01,2010/1/12,2.25
NRI01,2010/1/13,2.25
NRI01,2010/1/14,2.25
NRI01,2010/1/15,2.25
NRI01,2010/1/16,2.25
NRI01,2010/1/17,2.25
NRI01,2010/1/18,2.25
NRI01,2010/1/19,2.25
NRI01,2010/1/20,2.25
NRI01,2010/1/21,2.25
NRI01,2010/1/22,2.25
NRI01,2010/1/23,2.25
NRI01,2010/1/24,2.25
NRI01,2010/1/25,2.25
NRI01,2010/1/26,2.25
NRI01,2010/1/27,2.25
NRI01,2010/1/28,2.25
NRI01,2010/1/29,2.25
NRI01,2010/1/30,2.25
NRI01,2010/1/31,2.25
NRI01,2010/2/1,2.25
NRI01,2010/2/2,2.25
